"","**Characteristic**","**TEST_HOSP**"
"3706","ECVM210904021","1 (<0.1%)"
"3707","ECVM210904023","1 (<0.1%)"
"3708","ECVM210904024","1 (<0.1%)"
"3709","ECVM210904025","1 (<0.1%)"
"3710","ECVM210904026","1 (<0.1%)"
"3711","ECVM210904027","1 (<0.1%)"
"3712","ECVM210904028","1 (<0.1%)"
"3713","ECVM210904029","1 (<0.1%)"
"3714","ECVM210904030","1 (<0.1%)"
"3715","ECVM210904031","1 (<0.1%)"
"3716","ECVM210904032","1 (<0.1%)"
"3717","ECVM210904033","1 (<0.1%)"
"3718","ECVM210904034","1 (<0.1%)"
"3719","ECVM210904035","1 (<0.1%)"
"3720","ECVM210904037","1 (<0.1%)"
"3721","ECVM210904038","1 (<0.1%)"
"3722","ECVM210904039","1 (<0.1%)"
"3723","ECVM210904040","1 (<0.1%)"
"3724","ECVM210904041","1 (<0.1%)"
"3725","ECVM210904042","1 (<0.1%)"
"3726","ECVM210904043","1 (<0.1%)"
"3727","ECVM210904044","1 (<0.1%)"
"3728","ECVM210904045","1 (<0.1%)"
"3729","ECVM210904047","1 (<0.1%)"
"3730","ECVM210904048","1 (<0.1%)"
"3731","ECVM210904049","1 (<0.1%)"
"3732","ECVM210904051","1 (<0.1%)"
"3733","ECVM210904052","1 (<0.1%)"
"3734","ECVM210904053","1 (<0.1%)"
"3735","ECVM210904054","1 (<0.1%)"
"3736","ECVM210904055","1 (<0.1%)"
"3737","ECVM210904056","1 (<0.1%)"
"3738","ECVM210904057","1 (<0.1%)"
"3739","ECVM210904059","1 (<0.1%)"
"3740","ECVM210904060","1 (<0.1%)"
"3741","ECVM210904061","1 (<0.1%)"
"3742","ECVM210904062","1 (<0.1%)"
"3743","ECVM210904063","1 (<0.1%)"
"3744","ECVM210904064","1 (<0.1%)"
"3745","ECVM210904065","1 (<0.1%)"
"3746","ECVM210904066","1 (<0.1%)"
"3747","ECVM210904067","1 (<0.1%)"
"3748","ECVM210904068","1 (<0.1%)"
"3749","ECVM210904069","1 (<0.1%)"
"3750","ECVM210904071","1 (<0.1%)"
"3751","ECVM210904072","1 (<0.1%)"
"3752","ECVM210904073","1 (<0.1%)"
"3753","ECVM210904074","1 (<0.1%)"
"3754","ECVM210904075","1 (<0.1%)"
"3755","ECVM210904076","1 (<0.1%)"
"3756","ECVM210904077","1 (<0.1%)"
"3757","ECVM210904078","1 (<0.1%)"
"3758","ECVM210904079","1 (<0.1%)"
"3759","ECVM210904080","1 (<0.1%)"
"3760","ECVM210904081","1 (<0.1%)"
"3761","ECVM210904082","1 (<0.1%)"
"3762","ECVM210904083","1 (<0.1%)"
"3763","ECVM210904085","1 (<0.1%)"
"3764","ECVM210904086","1 (<0.1%)"
"3765","ECVM210904087","1 (<0.1%)"
"3766","ECVM210904088","1 (<0.1%)"
"3767","ECVM210904089","1 (<0.1%)"
"3768","ECVM210904090","1 (<0.1%)"
"3769","ECVM210904091","1 (<0.1%)"
"3770","ECVM210904092","1 (<0.1%)"
"3771","ECVM210904093","1 (<0.1%)"
"3772","ECVM210904094","1 (<0.1%)"
"3773","ECVM210904096","1 (<0.1%)"
"3774","ECVM210904097","1 (<0.1%)"
"3775","ECVM210904098","1 (<0.1%)"
"3776","ECVM210904099","1 (<0.1%)"
"3777","ECVM210904100","1 (<0.1%)"
"3778","ECVM210904101","1 (<0.1%)"
"3779","ECVM210904102","1 (<0.1%)"
"3780","ECVM210904103","1 (<0.1%)"
"3781","ECVM210904104","1 (<0.1%)"
"3782","ECVM210904105","1 (<0.1%)"
"3783","ECVM210904106","1 (<0.1%)"
"3784","ECVM210904107","1 (<0.1%)"
"3785","ECVM210904108","1 (<0.1%)"
"3786","ECVM210904109","1 (<0.1%)"
"3787","ECVM210904110","1 (<0.1%)"
"3788","ECVM210904111","1 (<0.1%)"
"3789","ECVM210904112","1 (<0.1%)"
"3790","ECVM210904113","1 (<0.1%)"
"3791","ECVM210904114","1 (<0.1%)"
"3792","ECVM210904115","1 (<0.1%)"
"3793","ECVM210904116","1 (<0.1%)"
"3794","ECVM210904117","1 (<0.1%)"
"3795","ECVM210904118","1 (<0.1%)"
"3796","ECVM210904119","1 (<0.1%)"
"3797","ECVM210904120","1 (<0.1%)"
"3798","ECVM210904121","1 (<0.1%)"
"3799","ECVM210904122","1 (<0.1%)"
"3800","ECVM210904123","1 (<0.1%)"
"3801","ECVM210904124","1 (<0.1%)"
"3802","ECVM210904126","1 (<0.1%)"
"3803","ECVM210904127","1 (<0.1%)"
"3804","ECVM210904128","1 (<0.1%)"
"3805","ECVM210904129","1 (<0.1%)"
"3806","ECVM210904130","1 (<0.1%)"
"3807","ECVM210904132","1 (<0.1%)"
"3808","ECVM210904134","1 (<0.1%)"
"3809","ECVM210904136","1 (<0.1%)"
"3810","ECVM210904137","1 (<0.1%)"
"3811","ECVM210904138","1 (<0.1%)"
"3812","ECVM210904139","1 (<0.1%)"
"3813","ECVM210904140","1 (<0.1%)"
"3814","ECVM210904141","1 (<0.1%)"
"3815","ECVM210904142","1 (<0.1%)"
"3816","ECVM210904144","1 (<0.1%)"
"3817","ECVM210904145","1 (<0.1%)"
"3818","ECVM210904146","1 (<0.1%)"
"3819","ECVM210904147","1 (<0.1%)"
"3820","ECVM210904148","1 (<0.1%)"
"3821","ECVM210904149","1 (<0.1%)"
"3822","ECVM210904150","1 (<0.1%)"
"3823","ECVM210904151","1 (<0.1%)"
"3824","ECVM210904152","1 (<0.1%)"
"3825","ECVM210904153","1 (<0.1%)"
"3826","ECVM210904154","1 (<0.1%)"
"3827","ECVM210904155","1 (<0.1%)"
"3828","ECVM210904156","1 (<0.1%)"
"3829","ECVM210904157","1 (<0.1%)"
"3830","ECVM210904158","1 (<0.1%)"
"3831","ECVM210904159","1 (<0.1%)"
"3832","ECVM210904160","1 (<0.1%)"
"3833","ECVM210904161","1 (<0.1%)"
"3834","ECVM210904162","1 (<0.1%)"
"3835","ECVM210904163","1 (<0.1%)"
"3836","ECVM210904164","1 (<0.1%)"
"3837","ECVM210904165","1 (<0.1%)"
"3838","ECVM210904166","1 (<0.1%)"
"3839","ECVM210904168","1 (<0.1%)"
"3840","ECVM210904170","1 (<0.1%)"
"3841","ECVM210904171","1 (<0.1%)"
"3842","ECVM210904172","1 (<0.1%)"
"3843","ECVM210904173","1 (<0.1%)"
"3844","ECVM210904174","1 (<0.1%)"
"3845","ECVM210904175","1 (<0.1%)"
"3846","ECVM210904176","1 (<0.1%)"
"3847","ECVM210904177","1 (<0.1%)"
"3848","ECVM210904178","1 (<0.1%)"
"3849","ECVM210904179","1 (<0.1%)"
"3850","ECVM210904181","1 (<0.1%)"
"3851","ECVM210904182","1 (<0.1%)"
"3852","ECVM210904183","1 (<0.1%)"
"3853","ECVM210904184","1 (<0.1%)"
"3854","ECVM210904185","1 (<0.1%)"
"3855","ECVM210904186","1 (<0.1%)"
"3856","ECVM210904187","1 (<0.1%)"
"3857","ECVM210904188","1 (<0.1%)"
"3858","ECVM210904189","1 (<0.1%)"
"3859","ECVM210904190","1 (<0.1%)"
"3860","ECVM210904191","1 (<0.1%)"
"3861","ECVM210904192","1 (<0.1%)"
"3862","ECVM210904194","1 (<0.1%)"
"3863","ECVM210904195","1 (<0.1%)"
"3864","ECVM210904196","1 (<0.1%)"
"3865","ECVM210904197","1 (<0.1%)"
"3866","ECVM210904198","1 (<0.1%)"
"3867","ECVM210904199","1 (<0.1%)"
"3868","ECVM210904200","1 (<0.1%)"
"3869","ECVM210904201","1 (<0.1%)"
"3870","ECVM210904202","1 (<0.1%)"
"3871","ECVM210904203","1 (<0.1%)"
"3872","ECVM210904204","1 (<0.1%)"
"3873","ECVM210904205","1 (<0.1%)"
"3874","ECVM210904206","1 (<0.1%)"
"3875","ECVM210904207","1 (<0.1%)"
"3876","ECVM210904208","1 (<0.1%)"
"3877","ECVM210904209","1 (<0.1%)"
"3878","ECVM210904210","1 (<0.1%)"
"3879","ECVM210904211","1 (<0.1%)"
"3880","ECVM210904212","1 (<0.1%)"
"3881","ECVM210904214","1 (<0.1%)"
"3882","ECVM210904215","1 (<0.1%)"
"3883","ECVM210904216","1 (<0.1%)"
"3884","ECVM210904217","1 (<0.1%)"
"3885","ECVM210904218","1 (<0.1%)"
"3886","ECVM210904220","1 (<0.1%)"
"3887","ECVM210904221","1 (<0.1%)"
"3888","ECVM210904222","1 (<0.1%)"
"3889","ECVM210904224","1 (<0.1%)"
"3890","ECVM210904225","1 (<0.1%)"
"3891","ECVM210904226","1 (<0.1%)"
"3892","ECVM210904227","1 (<0.1%)"
"3893","ECVM210904228","1 (<0.1%)"
"3894","ECVM210904229","1 (<0.1%)"
"3895","ECVM210904231","1 (<0.1%)"
"3896","ECVM210904232","1 (<0.1%)"
"3897","ECVM210904233","1 (<0.1%)"
"3898","ECVM210904234","1 (<0.1%)"
"3899","ECVM210904235","1 (<0.1%)"
"3900","ECVM210904236","1 (<0.1%)"
"3901","ECVM210904238","1 (<0.1%)"
"3902","ECVM210904239","1 (<0.1%)"
"3903","ECVM210904241","1 (<0.1%)"
"3904","ECVM210904242","1 (<0.1%)"
"3905","ECVM210904243","1 (<0.1%)"
"3906","ECVM210904244","1 (<0.1%)"
"3907","ECVM210904245","1 (<0.1%)"
"3908","ECVM210904246","1 (<0.1%)"
"3909","ECVM210904247","1 (<0.1%)"
"3910","ECVM210904248","1 (<0.1%)"
"3911","ECVM210904249","1 (<0.1%)"
"3912","ECVM210904250","1 (<0.1%)"
"3913","ECVM210904251","1 (<0.1%)"
"3914","ECVM210904252","1 (<0.1%)"
"3915","ECVM210904253","1 (<0.1%)"
"3916","ECVM210904254","1 (<0.1%)"
"3917","ECVM210904255","1 (<0.1%)"
"3918","ECVM210904256","1 (<0.1%)"
"3919","ECVM210904257","1 (<0.1%)"
"3920","ECVM210904258","1 (<0.1%)"
"3921","ECVM210904259","1 (<0.1%)"
"3922","ECVM210904260","1 (<0.1%)"
"3923","ECVM210904261","1 (<0.1%)"
"3924","ECVM210904262","1 (<0.1%)"
"3925","ECVM210904263","1 (<0.1%)"
"3926","ECVM210904264","1 (<0.1%)"
"3927","ECVM210904265","1 (<0.1%)"
"3928","ECVM210904266","1 (<0.1%)"
"3929","ECVM210904267","1 (<0.1%)"
"3930","ECVM210904268","1 (<0.1%)"
"3931","ECVM210904269","1 (<0.1%)"
"3932","ECVM210904270","1 (<0.1%)"
"3933","ECVM210904271","1 (<0.1%)"
"3934","ECVM210904272","1 (<0.1%)"
"3935","ECVM210904273","1 (<0.1%)"
"3936","ECVM210904274","1 (<0.1%)"
"3937","ECVM210904275","1 (<0.1%)"
"3938","ECVM210904276","1 (<0.1%)"
"3939","ECVM210904277","1 (<0.1%)"
"3940","ECVM210904278","1 (<0.1%)"
"3941","ECVM210904279","1 (<0.1%)"
"3942","ECVM210904280","1 (<0.1%)"
"3943","ECVM210904281","1 (<0.1%)"
"3944","ECVM210904282","1 (<0.1%)"
"3945","ECVM210904284","1 (<0.1%)"
"3946","ECVM210904285","1 (<0.1%)"
"3947","ECVM210904286","1 (<0.1%)"
"3948","ECVM210904287","1 (<0.1%)"
"3949","ECVM210904288","1 (<0.1%)"
"3950","ECVM210904289","1 (<0.1%)"
"3951","ECVM210904290","1 (<0.1%)"
"3952","ECVM210904291","1 (<0.1%)"
"3953","ECVM210904292","1 (<0.1%)"
"3954","ECVM210904293","1 (<0.1%)"
"3955","ECVM210904295","1 (<0.1%)"
"3956","ECVM210904296","1 (<0.1%)"
"3957","ECVM210904297","1 (<0.1%)"
"3958","ECVM210904298","1 (<0.1%)"
"3959","ECVM210904299","1 (<0.1%)"
"3960","ECVM210904300","1 (<0.1%)"
"3961","ECVM210904301","1 (<0.1%)"
"3962","ECVM210904303","1 (<0.1%)"
"3963","ECVM210904304","1 (<0.1%)"
"3964","ECVM210904305","1 (<0.1%)"
"3965","ECVM210904306","1 (<0.1%)"
"3966","ECVM210904307","1 (<0.1%)"
"3967","ECVM210904308","1 (<0.1%)"
"3968","ECVM210904309","1 (<0.1%)"
"3969","ECVM210904310","1 (<0.1%)"
"3970","ECVM210904311","1 (<0.1%)"
"3971","ECVM210904312","1 (<0.1%)"
"3972","ECVM210904313","1 (<0.1%)"
"3973","ECVM210904314","1 (<0.1%)"
"3974","ECVM210904315","1 (<0.1%)"
"3975","ECVM210904316","1 (<0.1%)"
"3976","ECVM210904317","1 (<0.1%)"
"3977","ECVM210904320","1 (<0.1%)"
"3978","ECVM210904321","1 (<0.1%)"
"3979","ECVM210904322","1 (<0.1%)"
"3980","ECVM210904323","1 (<0.1%)"
"3981","ECVM210904324","1 (<0.1%)"
"3982","ECVM210904325","1 (<0.1%)"
"3983","ECVM210904326","1 (<0.1%)"
"3984","ECVM210904327","1 (<0.1%)"
"3985","ECVM210904328","1 (<0.1%)"
"3986","ECVM210904329","1 (<0.1%)"
"3987","ECVM210904330","1 (<0.1%)"
"3988","ECVM210904332","1 (<0.1%)"
"3989","ECVM210904333","1 (<0.1%)"
"3990","ECVM210904334","1 (<0.1%)"
"3991","ECVM210904335","1 (<0.1%)"
"3992","ECVM210904336","1 (<0.1%)"
"3993","ECVM210904338","1 (<0.1%)"
"3994","ECVM210904339","1 (<0.1%)"
"3995","ECVM210904340","1 (<0.1%)"
"3996","ECVM210904341","1 (<0.1%)"
"3997","ECVM210904342","1 (<0.1%)"
"3998","ECVM210904343","1 (<0.1%)"
"3999","ECVM210904344","1 (<0.1%)"
"4000","ECVM210904345","1 (<0.1%)"
"4001","ECVM210904346","1 (<0.1%)"
"4002","ECVM210904347","1 (<0.1%)"
"4003","ECVM210904348","1 (<0.1%)"
"4004","ECVM210904349","1 (<0.1%)"
"4005","ECVM210904350","1 (<0.1%)"
"4006","ECVM210904351","1 (<0.1%)"
"4007","ECVM210904352","1 (<0.1%)"
"4008","ECVM210904353","1 (<0.1%)"
"4009","ECVM210904354","1 (<0.1%)"
"4010","ECVM210904355","1 (<0.1%)"
"4011","ECVM210904357","1 (<0.1%)"
"4012","ECVM210904358","1 (<0.1%)"
"4013","ECVM210904359","1 (<0.1%)"
"4014","ECVM210904361","1 (<0.1%)"
"4015","ECVM210904362","1 (<0.1%)"
"4016","ECVM210904363","1 (<0.1%)"
"4017","ECVM210904365","1 (<0.1%)"
"4018","ECVM210904366","1 (<0.1%)"
"4019","ECVM210904367","1 (<0.1%)"
"4020","ECVM210904368","1 (<0.1%)"
"4021","ECVM210904369","1 (<0.1%)"
"4022","ECVM210904371","1 (<0.1%)"
"4023","ECVM210904372","1 (<0.1%)"
"4024","ECVM210904373","1 (<0.1%)"
"4025","ECVM210904374","1 (<0.1%)"
"4026","ECVM210904375","1 (<0.1%)"
"4027","ECVM210904376","1 (<0.1%)"
"4028","ECVM210904377","1 (<0.1%)"
"4029","ECVM210904378","1 (<0.1%)"
"4030","ECVM210904379","1 (<0.1%)"
"4031","ECVM210904380","1 (<0.1%)"
"4032","ECVM210904381","1 (<0.1%)"
"4033","ECVM210904382","1 (<0.1%)"
"4034","ECVM210904383","1 (<0.1%)"
"4035","ECVM210904384","1 (<0.1%)"
"4036","ECVM210904385","1 (<0.1%)"
"4037","ECVM210904386","1 (<0.1%)"
"4038","ECVM210904387","1 (<0.1%)"
"4039","ECVM210904388","1 (<0.1%)"
"4040","ECVM210904389","1 (<0.1%)"
"4041","ECVM210904390","1 (<0.1%)"
"4042","ECVM210904391","1 (<0.1%)"
"4043","ECVM210904392","1 (<0.1%)"
"4044","ECVM210904393","1 (<0.1%)"
"4045","ECVM210904394","1 (<0.1%)"
"4046","ECVM210904395","1 (<0.1%)"
"4047","ECVM210904396","1 (<0.1%)"
"4048","ECVM210904397","1 (<0.1%)"
"4049","ECVM210904398","1 (<0.1%)"
"4050","ECVM210904399","1 (<0.1%)"
"4051","ECVM210904400","1 (<0.1%)"
"4052","ECVM210904403","1 (<0.1%)"
"4053","ECVM210904404","1 (<0.1%)"
"4054","ECVM210904405","1 (<0.1%)"
"4055","ECVM210904406","1 (<0.1%)"
"4056","ECVM210904407","1 (<0.1%)"
"4057","ECVM210904408","1 (<0.1%)"
"4058","ECVM210904409","1 (<0.1%)"
"4059","ECVM210904410","1 (<0.1%)"
"4060","ECVM210904411","1 (<0.1%)"
"4061","ECVM210904412","1 (<0.1%)"
"4062","ECVM210904413","1 (<0.1%)"
"4063","ECVM210904414","1 (<0.1%)"
"4064","ECVM210904415","1 (<0.1%)"
"4065","ECVM210904416","1 (<0.1%)"
"4066","ECVM210904417","1 (<0.1%)"
"4067","ECVM210904418","1 (<0.1%)"
"4068","ECVM210904419","1 (<0.1%)"
"4069","ECVM210904420","1 (<0.1%)"
"4070","ECVM210904422","1 (<0.1%)"
"4071","ECVM210904424","1 (<0.1%)"
"4072","ECVM210904425","1 (<0.1%)"
"4073","ECVM210904426","1 (<0.1%)"
"4074","ECVM210904427","1 (<0.1%)"
"4075","ECVM210904428","1 (<0.1%)"
"4076","ECVM210904429","1 (<0.1%)"
"4077","ECVM210904430","1 (<0.1%)"
"4078","ECVM210904431","1 (<0.1%)"
"4079","ECVM210904433","1 (<0.1%)"
"4080","ECVM210904434","1 (<0.1%)"
"4081","ECVM210904435","1 (<0.1%)"
"4082","ECVM210904436","1 (<0.1%)"
"4083","ECVM210904437","1 (<0.1%)"
"4084","ECVM210904438","1 (<0.1%)"
"4085","ECVM210904441","1 (<0.1%)"
"4086","ECVM210904442","1 (<0.1%)"
"4087","ECVM210904444","1 (<0.1%)"
"4088","ECVM210904445","1 (<0.1%)"
"4089","ECVM210904446","1 (<0.1%)"
"4090","ECVM210904447","1 (<0.1%)"
"4091","ECVM210904448","1 (<0.1%)"
"4092","ECVM210904449","1 (<0.1%)"
"4093","ECVM210904450","1 (<0.1%)"
"4094","ECVM210904451","1 (<0.1%)"
"4095","ECVM210904452","1 (<0.1%)"
"4096","ECVM210904453","1 (<0.1%)"
"4097","ECVM210904454","1 (<0.1%)"
"4098","ECVM210904455","1 (<0.1%)"
"4099","ECVM210904456","1 (<0.1%)"
"4100","ECVM210904457","1 (<0.1%)"
"4101","ECVM210904459","1 (<0.1%)"
"4102","ECVM210904460","1 (<0.1%)"
"4103","ECVM210904461","1 (<0.1%)"
"4104","ECVM210904462","1 (<0.1%)"
"4105","ECVM210904463","1 (<0.1%)"
"4106","ECVM210904464","1 (<0.1%)"
"4107","ECVM210904465","1 (<0.1%)"
"4108","ECVM210904466","1 (<0.1%)"
"4109","ECVM210904467","1 (<0.1%)"
"4110","ECVM210904468","1 (<0.1%)"
"4111","ECVM210904469","1 (<0.1%)"
"4112","ECVM210904470","1 (<0.1%)"
"4113","ECVM210904471","1 (<0.1%)"
"4114","ECVM210904472","1 (<0.1%)"
"4115","ECVM210904473","1 (<0.1%)"
"4116","ECVM210904474","1 (<0.1%)"
"4117","ECVM210904476","1 (<0.1%)"
"4118","ECVM210904477","1 (<0.1%)"
"4119","ECVM210904478","1 (<0.1%)"
"4120","ECVM210904479","1 (<0.1%)"
"4121","ECVM210904480","1 (<0.1%)"
"4122","ECVM210904481","1 (<0.1%)"
"4123","ECVM210904482","1 (<0.1%)"
"4124","ECVM210904483","1 (<0.1%)"
"4125","ECVM210904485","1 (<0.1%)"
"4126","ECVM210904486","1 (<0.1%)"
"4127","ECVM210904487","1 (<0.1%)"
"4128","ECVM210904488","1 (<0.1%)"
"4129","ECVM210904489","1 (<0.1%)"
"4130","ECVM210904490","1 (<0.1%)"
"4131","ECVM210904491","1 (<0.1%)"
"4132","ECVM210904492","1 (<0.1%)"
"4133","ECVM210904493","1 (<0.1%)"
"4134","ECVM210904494","1 (<0.1%)"
"4135","ECVM210904495","1 (<0.1%)"
"4136","ECVM210904496","1 (<0.1%)"
"4137","ECVM210904497","1 (<0.1%)"
"4138","ECVM210904498","1 (<0.1%)"
"4139","ECVM210904499","1 (<0.1%)"
"4140","ECVM210904500","1 (<0.1%)"
"4141","ECVM210904501","1 (<0.1%)"
"4142","ECVM210904502","1 (<0.1%)"
"4143","ECVM210904503","1 (<0.1%)"
"4144","ECVM210904504","1 (<0.1%)"
"4145","ECVM210904505","1 (<0.1%)"
"4146","ECVM210904506","1 (<0.1%)"
"4147","ECVM210904507","1 (<0.1%)"
"4148","ECVM210904508","1 (<0.1%)"
"4149","ECVM210904509","1 (<0.1%)"
"4150","ECVM210904510","1 (<0.1%)"
"4151","ECVM210904511","1 (<0.1%)"
"4152","ECVM210904512","1 (<0.1%)"
"4153","ECVM210904513","1 (<0.1%)"
"4154","ECVM210904514","1 (<0.1%)"
"4155","ECVM210904516","1 (<0.1%)"
"4156","ECVM210904517","1 (<0.1%)"
"4157","ECVM210904518","1 (<0.1%)"
"4158","ECVM210904519","1 (<0.1%)"
"4159","ECVM210904520","1 (<0.1%)"
"4160","ECVM210904521","1 (<0.1%)"
"4161","ECVM210904522","1 (<0.1%)"
"4162","ECVM210904523","1 (<0.1%)"
"4163","ECVM210904524","1 (<0.1%)"
"4164","ECVM210904525","1 (<0.1%)"
"4165","ECVM210904526","1 (<0.1%)"
"4166","ECVM210904527","1 (<0.1%)"
"4167","ECVM210904528","1 (<0.1%)"
"4168","ECVM210904529","1 (<0.1%)"
"4169","ECVM210904531","1 (<0.1%)"
"4170","ECVM210904532","1 (<0.1%)"
"4171","ECVM210904533","1 (<0.1%)"
"4172","ECVM210904534","1 (<0.1%)"
"4173","ECVM210904536","1 (<0.1%)"
"4174","ECVM210904537","1 (<0.1%)"
"4175","ECVM210904538","1 (<0.1%)"
"4176","ECVM210904539","1 (<0.1%)"
"4177","ECVM210904540","1 (<0.1%)"
"4178","ECVM210904541","1 (<0.1%)"
"4179","ECVM210904542","1 (<0.1%)"
"4180","ECVM210904543","1 (<0.1%)"
"4181","ECVM210904544","1 (<0.1%)"
"4182","ECVM210904545","1 (<0.1%)"
"4183","ECVM210904546","1 (<0.1%)"
"4184","ECVM210904547","1 (<0.1%)"
"4185","ECVM210904548","1 (<0.1%)"
"4186","ECVM210904549","1 (<0.1%)"
"4187","ECVM210904550","1 (<0.1%)"
"4188","ECVM210904551","1 (<0.1%)"
"4189","ECVM210904552","1 (<0.1%)"
"4190","ECVM210904553","1 (<0.1%)"
"4191","ECVM210904554","1 (<0.1%)"
"4192","ECVM210904555","1 (<0.1%)"
"4193","ECVM210904556","1 (<0.1%)"
"4194","ECVM210904557","1 (<0.1%)"
"4195","ECVM210904558","1 (<0.1%)"
"4196","ECVM210904559","1 (<0.1%)"
"4197","ECVM210904560","1 (<0.1%)"
"4198","ECVM210904561","1 (<0.1%)"
"4199","ECVM210904562","1 (<0.1%)"
"4200","ECVM210904563","1 (<0.1%)"
"4201","ECVM210904565","1 (<0.1%)"
"4202","ECVM210904567","1 (<0.1%)"
"4203","ECVM210904568","1 (<0.1%)"
"4204","ECVM210904569","1 (<0.1%)"
"4205","ECVM210904570","1 (<0.1%)"
"4206","ECVM210904571","1 (<0.1%)"
"4207","ECVM210904572","1 (<0.1%)"
"4208","ECVM210904573","1 (<0.1%)"
"4209","ECVM210904574","1 (<0.1%)"
"4210","ECVM210904575","1 (<0.1%)"
"4211","ECVM210904576","1 (<0.1%)"
"4212","ECVM210904577","1 (<0.1%)"
"4213","ECVM210904578","1 (<0.1%)"
"4214","ECVM210904579","1 (<0.1%)"
"4215","ECVM210904580","1 (<0.1%)"
"4216","ECVM210904582","1 (<0.1%)"
"4217","ECVM210904583","1 (<0.1%)"
"4218","ECVM210904584","1 (<0.1%)"
"4219","ECVM210904585","1 (<0.1%)"
"4220","ECVM210904586","1 (<0.1%)"
"4221","ECVM210904587","1 (<0.1%)"
"4222","ECVM210904588","1 (<0.1%)"
"4223","ECVM210904589","1 (<0.1%)"
"4224","ECVM210904590","1 (<0.1%)"
"4225","ECVM210904591","1 (<0.1%)"
"4226","ECVM210904592","1 (<0.1%)"
"4227","ECVM210904593","1 (<0.1%)"
"4228","ECVM210904594","1 (<0.1%)"
"4229","ECVM210904595","1 (<0.1%)"
"4230","ECVM210904596","1 (<0.1%)"
"4231","ECVM210904598","1 (<0.1%)"
"4232","ECVM210904599","1 (<0.1%)"
"4233","ECVM210904600","1 (<0.1%)"
"4234","ECVM210904601","1 (<0.1%)"
"4235","ECVM210904602","1 (<0.1%)"
"4236","ECVM210904603","1 (<0.1%)"
"4237","ECVM210904604","1 (<0.1%)"
"4238","ECVM210904605","1 (<0.1%)"
"4239","ECVM210904606","1 (<0.1%)"
"4240","ECVM210904607","1 (<0.1%)"
"4241","ECVM210904608","1 (<0.1%)"
"4242","ECVM210904609","1 (<0.1%)"
"4243","ECVM210904610","1 (<0.1%)"
"4244","ECVM210904612","1 (<0.1%)"
"4245","ECVM210904614","1 (<0.1%)"
"4246","ECVM210904616","1 (<0.1%)"
"4247","ECVM210904617","1 (<0.1%)"
"4248","ECVM210904618","1 (<0.1%)"
"4249","ECVM210904619","1 (<0.1%)"
"4250","ECVM210904620","1 (<0.1%)"
"4251","ECVM210904621","1 (<0.1%)"
"4252","ECVM210904622","1 (<0.1%)"
"4253","ECVM210904623","1 (<0.1%)"
"4254","ECVM210904624","1 (<0.1%)"
"4255","ECVM210904625","1 (<0.1%)"
"4256","ECVM210904626","1 (<0.1%)"
"4257","ECVM210904627","1 (<0.1%)"
"4258","ECVM210904628","1 (<0.1%)"
"4259","ECVM210904630","1 (<0.1%)"
"4260","ECVM210904631","1 (<0.1%)"
"4261","ECVM210904632","1 (<0.1%)"
"4262","ECVM210904633","1 (<0.1%)"
"4263","ECVM210904634","1 (<0.1%)"
"4264","ECVM210904635","1 (<0.1%)"
"4265","ECVM210904636","1 (<0.1%)"
"4266","ECVM210904637","1 (<0.1%)"
"4267","ECVM210904638","1 (<0.1%)"
"4268","ECVM210904639","1 (<0.1%)"
"4269","ECVM210904640","1 (<0.1%)"
"4270","ECVM210904641","1 (<0.1%)"
"4271","ECVM210904642","1 (<0.1%)"
"4272","ECVM210904643","1 (<0.1%)"
"4273","ECVM210904644","1 (<0.1%)"
"4274","ECVM210904645","1 (<0.1%)"
"4275","ECVM210904646","1 (<0.1%)"
"4276","ECVM210904647","1 (<0.1%)"
"4277","ECVM210904648","1 (<0.1%)"
"4278","ECVM210904649","1 (<0.1%)"
"4279","ECVM210904650","1 (<0.1%)"
"4280","ECVM210904651","1 (<0.1%)"
"4281","ECVM210904652","1 (<0.1%)"
"4282","ECVM210904653","1 (<0.1%)"
"4283","ECVM210904654","1 (<0.1%)"
"4284","ECVM210904655","1 (<0.1%)"
"4285","ECVM210904657","1 (<0.1%)"
"4286","ECVM210904658","1 (<0.1%)"
"4287","ECVM210904659","1 (<0.1%)"
"4288","ECVM210904660","1 (<0.1%)"
"4289","ECVM210904661","1 (<0.1%)"
"4290","ECVM210904662","1 (<0.1%)"
"4291","ECVM210904663","1 (<0.1%)"
"4292","ECVM210904664","1 (<0.1%)"
"4293","ECVM210904665","1 (<0.1%)"
"4294","ECVM210904666","1 (<0.1%)"
"4295","ECVM210904667","1 (<0.1%)"
"4296","ECVM210904668","1 (<0.1%)"
"4297","ECVM210904669","1 (<0.1%)"
"4298","ECVM210904671","1 (<0.1%)"
"4299","ECVM210904672","1 (<0.1%)"
"4300","ECVM210904673","1 (<0.1%)"
"4301","ECVM210904674","1 (<0.1%)"
"4302","ECVM210904675","1 (<0.1%)"
"4303","ECVM210904676","1 (<0.1%)"
"4304","ECVM210904677","1 (<0.1%)"
"4305","ECVM210904678","1 (<0.1%)"
"4306","ECVM210904679","1 (<0.1%)"
"4307","ECVM210904680","1 (<0.1%)"
"4308","ECVM210904681","1 (<0.1%)"
"4309","ECVM210904682","1 (<0.1%)"
"4310","ECVM210904683","1 (<0.1%)"
"4311","ECVM210904684","1 (<0.1%)"
"4312","ECVM210904685","1 (<0.1%)"
